genre,danceability
flare.genre.latin jazz,0.61766
flare.genre.stoner metal,0.37844
flare.genre.experimental,0.452958333333
flare.genre.ska,0.57876
flare.genre.french indie pop,0.670604166667
flare.genre.deep ccm,0.42928
flare.genre.merengue urbano,0.77248
flare.genre.classic norwegian pop,0.560204081633
flare.genre.pub rock,0.53972
flare.genre.memphis blues,0.64116
flare.genre.ska punk,0.47362
flare.genre.suomi rock,0.4634375
flare.genre.afrobeats,0.77102
flare.genre.hyphy,0.787224489796
flare.genre.liquid funk,0.54948
flare.genre.swedish synthpop,0.64956
flare.genre.chicago blues,0.6244
flare.genre.drill,0.688
flare.genre.vaporwave,0.56414
flare.genre.neue deutsche harte,0.56564
flare.genre.louvor,0.407897959184
flare.genre.world,0.611163265306
flare.genre.dub,0.78556
flare.genre.smooth jazz,0.68242
flare.genre.drum and bass,0.5179
flare.genre.memphis hip hop,0.81348
flare.genre.j-rock,0.43526
flare.genre.new orleans blues,0.64906
flare.genre.new weird america,0.521854166667
flare.genre.german pop rock,0.6189
flare.genre.old school hip hop,0.818612244898
flare.genre.relaxative,0.39138
flare.genre.trova,0.57802
flare.genre.big band,0.52162
flare.genre.hardcore punk,0.35624
flare.genre.stomp pop,0.53498
flare.genre.bass music,0.58162
flare.genre.flamenco,0.578404255319
flare.genre.indonesian indie,0.582979591837
flare.genre.comedy,0.53144
flare.genre.baroque,0.357310344828
flare.genre.viking metal,0.39318
flare.genre.russelater,0.701489795918
flare.genre.djent,0.459510638298
flare.genre.mambo,0.66056
flare.genre.acoustic blues,0.60104
flare.genre.spanish indie pop,0.578183673469
flare.genre.swedish metal,0.45632
flare.genre.delta blues,0.5802
flare.genre.norwegian rock,0.46228
flare.genre.deep texas country,0.550428571429
flare.genre.gospel,0.43118
flare.genre.christian relaxative,0.462739130435
flare.genre.doo-wop,0.53142
flare.genre.icelandic pop,0.431336
flare.genre.latin metal,0.4811
flare.genre.cowboy western,0.63612
flare.genre.piedmont blues,0.56452
flare.genre.deep swedish indie pop,0.533510638298
flare.genre.wonky,0.58412
