genre,valence
alternative americana,0.493071428571
darkstep,0.211118367347
nl folk,0.70078
marching band,0.460553061224
lounge house,0.457753191489
semba,0.611770833333
underground power pop,0.66552
psychedelic blues-rock,0.525285416667
crack rock steady,0.415542
vegan straight edge,0.358775510204
motivation,0.400904166667
schranz,0.302448979592
traditional swing,0.6498125
chalga,0.683969387755
musiikkia lapsille,0.687404347826
footwork,0.377816
breakcore,0.2803
yoik,0.34591875
leeds indie,0.46007755102
tribute,0.415306122449
funky breaks,0.711312244898
indian classical,0.370870833333
didgeridoo,0.345729787234
classic dutch pop,0.756795918367
slc indie,0.444698
deep contemporary country,0.507040816327
danish indie,0.316341666667
belgian indie,0.4154875
jazz brass,0.403897959184
deep brazilian pop,0.566674468085
corrosion,0.57148
black death,0.156498
japanese jazztronica,0.558198
electro trash,0.362867346939
classic afrobeat,0.74064
gothic americana,0.672912244898
slavic metal,0.31113
dark hardcore,0.193919565217
scratch,0.556851020408
traditional scottish folk,0.479381632653
hebrew pop,0.61068
garage punk blues,0.57868
hindustani classical,0.3013
indie singer-songwriter,0.279968
deep german punk,0.347841304348
deep disco,0.78026
electronicore,0.282206122449
zydeco,0.81398
usbm,0.097134
string folk,0.243824489796
beach music,0.739195652174
luk thung,0.504848979592
michigan indie,0.5155
south african jazz,0.646852
islamic recitation,0.442673469388
spanish invasion,0.707979166667
russian alternative,0.467566666667
deep orchestral,0.143134042553
mallet,0.602910416667
dark ambient,0.0551244897959
ragga jungle,0.697583333333
progressive alternative,0.35696
fast melodic punk,0.483956521739
martial industrial,0.279
deep discofox,0.679653061224
enka,0.440125
kwaito,0.647081632653
porro,0.88834
power violence,0.239702
finnish hardcore,0.472843181818
neurostep,0.34700625
classic russian pop,0.776612244898
vapor house,0.342126530612
deep melodic hard rock,0.474869387755
downtempo fusion,0.415174
ostrock,0.52922826087
spanish classical,0.355768085106
monastic,0.076587755102
string band,0.66181
ambient psychill,0.238508163265
faroese pop,0.35853877551
musica per bambini,0.700375
rebetiko,0.616854166667
romanian rock,0.577065957447
panpipe,0.356222916667
afrikaans,0.682833333333
abstract idm,0.383902040816
deep psychobilly,0.55536
ugandan pop,0.87312
bass trip,0.4858
power electronics,0.87496
french punk,0.542632653061
library music,0.550595918367
j-reggae,0.549239130435
russian folk,0.41892
musique pour enfants,0.660730612245
hard house,0.403875
concert piano,0.222657142857
trash rock,0.711270833333
wind ensemble,0.065858
deep liquid bass,0.282185106383
deep jazz guitar,0.351565306122
norwegian jazz,0.203969230769
neo metal,0.302744897959
gospel reggae,0.6898125
traditional soul,0.72274
persian traditional,0.295338
coupe decale,0.811673469388
italian progressive rock,0.421610204082
manele,0.869340425532
magyar,0.624775
melodic progressive metal,0.297204347826
japanoise,0.359644897959
bay area hip hop,0.555154
german ccm,0.341869565217
bossa nova jazz,0.683833333333
deep opera,0.143308888889
greek indie,0.605940816327
consort,0.249706122449
chaotic black metal,0.13126875
classic schlager,0.690391304348
