genre,loudness
praise,-6.85744
theme,-12.8868
hungarian rock,-4.2017
athens indie,-7.75616
neo-trad metal,-5.23676
dub techno,-15.7758367347
norwegian metal,-6.07997959184
venezuelan rock,-7.21706
choral,-24.0041304348
aggrotech,-6.48762
neo-progressive,-9.54502040816
turkish alternative,-6.52264583333
hungarian pop,-6.04504545455
classic colombian pop,-7.80276
kizomba,-6.83112
avant-garde,-25.05798
columbus ohio indie,-4.29244897959
czech folk,-7.11614893617
anime score,-14.80782
visual kei,-4.32188
mizrahi,-5.41844
barnemusikk,-11.4253
abstract beats,-7.90967346939
italian metal,-5.93208
popgaze,-6.62073469388
indian folk,-7.27094
deep latin alternative,-8.88814583333
power-pop punk,-4.84206
ok indie,-8.8144
deep chill,-11.2419583333
classic turkish pop,-9.68664
french movie tunes,-9.43165306122
bubble trance,-7.89165306122
goregrind,-5.251
j-indie,-4.05826
vintage italian soundtrack,-15.07388
melodic hard rock,-5.78324
deep tech house,-7.76070833333
dark cabaret,-7.885
shibuya-kei,-8.34397916667
deep pop punk,-4.24320833333
folkmusik,-11.2137111111
power blues-rock,-6.68644
rai,-7.117
p funk,-9.38846
swedish punk,-4.12513043478
russian punk,-7.02254
spanish reggae,-6.75296
black thrash,-6.523
fidget house,-5.41026530612
shimmer psych,-8.31256
musica nativista,-5.26516666667
albanian pop,-6.26568
horrorcore,-5.98974
basque rock,-6.52972340426
violin,-22.4276363636
nu skool breaks,-6.66574
melodic power metal,-5.39776
turkish classical,-11.4820612245
highlife,-6.7231
belly dance,-6.85694
string quartet,-11.38142
classic belgian pop,-8.01512244898
indie psych-pop,-7.68412244898
southern gospel,-7.56481632653
chiptune,-7.31278
soukous,-5.64238
lds,-17.1692857143
instrumental post rock,-14.8953673469
irish country,-10.098122449
brass band,-7.51938
classic polish pop,-9.63159574468
bouncy house,-3.12988
vintage swedish pop,-10.3538085106
timba,-4.96944
classic peruvian pop,-7.9943877551
renaissance,-23.7131
acid techno,-10.42876
norwegian gospel,-8.93784
yugoslav rock,-6.57153061224
dominican pop,-8.4739
classic icelandic pop,-9.4099787234
arab folk,-11.0177083333
southern soul blues,-7.55344
perth indie,-6.89658
neue deutsche welle,-7.828
swiss rock,-8.6197
zouk,-6.84948
deep melodic metalcore,-3.03088
sega,-7.96642857143
mod revival,-8.17768
pakistani pop,-7.44544897959
deep soul house,-10.73744
french folk pop,-8.54652083333
deep christian rock,-10.838
c86,-9.5222
rio de la plata,-7.27095833333
native american,-21.5769387755
college a cappella,-8.44072
uk dub,-8.05997959184
jazz bass,-12.99932
miami bass,-10.06222
ambient idm,-13.69506
polish reggae,-6.55220408163
nordic folk,-13.47498
hauntology,-14.2991
vienna indie,-8.8234375
swamp pop,-8.8372
modern uplift,-4.76829166667
catalan folk,-10.7037083333
chanson quebecois,-8.1183125
girl group,-8.16608
brazilian composition,-21.4861666667
digital hardcore,-6.81438
hip hop tuga,-7.91929787234
hip hop quebecois,-6.23704166667
deep neofolk,-9.03485714286
vintage french electronic,-11.1061428571
samba-enredo,-8.0557173913
vocaloid,-4.10275510204
italian jazz,-18.42238
croatian pop,-6.28689583333
spanish folk,-8.60474
hard minimal techno,-7.16485714286
vintage tango,-9.33078
desert blues,-10.4271
garage punk,-3.92896
bounce,-5.40711363636
hiplife,-5.51927083333
mexican son,-7.66679166667
german oi,-4.68918367347
classical guitar,-23.8881020408
drumfunk,-6.97646938776
czech hip hop,-6.31276086957
appalachian folk,-12.8549387755
vietnamese pop,-6.58538
balkan brass,-7.24414
free improvisation,-16.2426170213
riot grrrl,-5.00426
rosary,-15.19804
electronica,-10.26242
underground latin hip hop,-6.84122916667
karneval,-4.56876595745
serialism,-25.9226734694
cante flamenco,-10.8050851064
tico,-7.3092244898
boogie-woogie,-12.37658
morna,-9.93206
ecuadoria,-5.73644897959
traditional rock 'n roll,-9.97764
estonian pop,-6.7258
tin pan alley,-15.75676
german show tunes,-9.941625
disco polo,-5.56564
portuguese pop,-5.72154347826
mbalax,-7.59934693878
harpsichord,-21.2185
deep soundtrack,-21.0581
polish indie,-6.58597959184
cyber metal,-5.08375510204
kids dance party,-9.8503
metal guitar,-7.73802
thrash core,-7.6093
outsider,-13.2314897959
full on,-7.08354166667
composition d,-25.5432708333
deep liquid,-5.43473469388
kompa,-6.4212
new age piano,-19.72458
heavy alternative,-4.63879591837
jumpstyle,-4.79882
electropunk,-7.97672
classic czech pop,-7.13497674419
stomp and whittle,-8.03632
slovak hip hop,-5.68962222222
beats,-9.80316326531
brutal deathcore,-4.01074
finnish indie,-9.60222916667
makossa,-4.60763265306
qawwali,-8.23906
kwaito house,-8.26734693878
witch house,-8.26330612245
j-ambient,-19.0451428571
atmospheric post rock,-10.26906
zillertal,-5.59108695652
gothic alternative,-4.03552
funk carioca,-4.855125
latvian pop,-7.445
crust punk,-6.43282
oshare kei,-4.17445833333
blackgaze,-8.65595918367
psych gaze,-7.32851020408
grunge pop,-5.22826530612
orquesta tropical,-6.31053061224
ghazal,-10.09522
classic venezuelan pop,-9.24269387755
rva indie,-7.6501
irish indie,-9.69262
denver indie,-6.77064
world chill,-9.64355102041
deep gothic post-punk,-7.99998
ethiopian pop,-9.56406122449
deep rai,-5.79158695652
electro dub,-7.8997173913
traditional ska,-6.90398
hungarian hip hop,-5.38035555556
fake,-5.82908
beatdown,-4.87128
deep acoustic pop,-8.8942244898
drone folk,-13.721122449
canadian hip hop,-5.86473469388
louisville indie,-7.29418
dirty texas rap,-7.91193877551
neofolk,-8.84434693878
neo-rockabilly,-6.25806
judaica,-6.19634
deep flow,-4.15189473684
japanese psychedelic,-9.56986
ragtime,-15.5727755102
anarcho-punk,-7.55594
workout,-6.6474
austrian hip hop,-7.98135416667
guidance,-20.93546
traditional british folk,-12.7466122449
calypso,-12.32312
orquesta tipica,-8.98072
swiss hip hop,-6.59870833333
geek rock,-8.29481632653
deep adult standards,-12.22326
blaskapelle,-10.0407446809
classic french pop,-7.734
nwothm,-6.01785714286
deep smooth jazz,-7.84184
deep dance pop,-5.18444897959
dark black metal,-6.4196122449
abstract,-17.9424375
tone,-28.0628541667
neo-synthpop,-7.31774
minimal melodic techno,-9.5640212766
nerdcore,-6.34364
ukulele,-11.16904
kurdish folk,-7.90512244898
ukrainian rock,-6.18593877551
kayokyoku,-11.297755102
new beat,-5.684375
lithumania,-8.6949375
modern southern rock,-5.4001
euroska,-5.78125
k-rock,-6.74789795918
classic soundtrack,-13.65768
zouglou,-4.75989795918
australian indie,-7.238
indie emo,-7.61753061224
lo star,-7.77504
atmospheric post-metal,-7.5438
broken beat,-7.61724
acousmatic,-27.34914
minimal wave,-7.66083673469
solipsynthm,-5.74646938776
swedish prog,-9.55226
alternative americana,-8.45063265306
darkstep,-4.33016326531
nl folk,-7.33758
marching band,-14.4327142857
lounge house,-9.86219148936
semba,-8.5405
underground power pop,-8.71838
psychedelic blues-rock,-9.9364375
crack rock steady,-4.85328
vegan straight edge,-7.06151020408
motivation,-20.6819
schranz,-7.93985714286
traditional swing,-7.1679375
chalga,-5.23657142857
musiikkia lapsille,-11.4075652174
footwork,-8.22352
breakcore,-9.23408163265
yoik,-11.2237291667
leeds indie,-6.98959183673
tribute,-8.44197959184
funky breaks,-6.82597959184
indian classical,-16.5951875
didgeridoo,-12.4200425532
classic dutch pop,-9.21457142857
slc indie,-7.66554
deep contemporary country,-8.10414285714
danish indie,-9.27197916667
belgian indie,-7.99160416667
jazz brass,-13.8816734694
deep brazilian pop,-12.6235531915
corrosion,-10.53232
