genre,liveness
italian indie pop,0.127562
ectofolk,0.18207
symphonic black metal,0.212062
classic italian pop,0.22357
turkish hip hop,0.173825
cuban rumba,0.199302
brega,0.248124489796
deep norteno,0.195165306122
happy hardcore,0.287646
carnaval,0.217176595745
belgian rock,0.179318
chicago house,0.143924
medieval rock,0.196502040816
irish folk,0.246477777778
jungle,0.262578
chamame,0.190412
scottish rock,0.163684
rap chileno,0.221552
classic chinese pop,0.169068
dark wave,0.25112
progressive uplifting trance,0.3391
orgcore,0.223964444444
austindie,0.189182
idol,0.16863
chicago indie,0.212698
medieval,0.202272
avant-garde jazz,0.15578
eurovision,0.170406122449
bay area indie,0.172296
romantico,0.142228
western swing,0.175086
russian rock,0.20025
japanese city pop,0.179426
new orleans jazz,0.192192
j-idol,0.183804
italian disco,0.155612
harmonica blues,0.247282
arab pop,0.162808
puerto rican rock,0.20942244898
dubstep,0.193156
classic finnish pop,0.206551111111
malaysian pop,0.136428571429
outsider house,0.167148
mexican rock-and-roll,0.15813
portuguese rock,0.152683673469
post-doom metal,0.185362
colombian rock,0.17457
sertanejo tradicional,0.538636734694
brutal death metal,0.206112
soul flow,0.271962
salsa international,0.176293877551
seattle indie,0.155362
avantgarde metal,0.201316
hardcore,0.298338
nasheed,0.124728571429
gbvfi,0.162584
psychedelic doom,0.157102
celtic punk,0.209144
grindcore,0.2432
quebecois,0.173754
austropop,0.224852
brazilian ccm,0.315812244898
funky tech house,0.213476
riddim,0.197071428571
psychedelic trance,0.18302
speed garage,0.207164583333
baile funk,0.18663877551
classic russian rock,0.215848979592
freestyle,0.166687234043
j-poprock,0.188182
italian pop rock,0.169071428571
ebm,0.24673
math pop,0.184134
barnmusik,0.190689795918
spanish noise pop,0.165595833333
warm drone,0.121595918367
soca,0.145126
nursery,0.140066
ethereal wave,0.174804
nintendocore,0.238756
african gospel,0.200314
garage pop,0.20562
world meditation,0.118632
destroy techno,0.178642
balearic,0.182410204082
progressive deathcore,0.297388
math rock,0.216127083333
laiko,0.186542
acid house,0.174002040816
albuquerque indie,0.20405
mande pop,0.150554
polish punk,0.172225
russiavision,0.204946
deep latin christian,0.254276
indie dream pop,0.152812
kindermusik,0.135377272727
emo punk,0.210902439024
entehno,0.177144
bassline,0.232024
k-indie,0.163048
classic finnish rock,0.183366666667
substep,0.164632
electrofox,0.196002
drill and bass,0.163240816327
turbo folk,0.184614285714
british alternative rock,0.204218
ambeat,0.157544
ska revival,0.167089795918
deep minimal techno,0.173606666667
bmore,0.205769387755
british indie rock,0.158272
canterbury scene,0.179266
musica para ninos,0.164688
romanian pop,0.199872
chill lounge,0.173991836735
rock catala,0.153778723404
free jazz,0.157366
argentine indie,0.153589795918
deep comedy,0.80562
twee pop,0.179196
classic garage rock,0.190542857143
volksmusik,0.199745652174
post-post-hardcore,0.286436
electro-industrial,0.226482
gypsy jazz,0.139652
oi,0.233194
latin electronica,0.166838
straight edge,0.33371
christian hardcore,0.256944
kabarett,0.252263829787
kraut rock,0.143086
steampunk,0.205632
singaporean pop,0.146828571429
swedish hard rock,0.240318367347
world fusion,0.16884
slovak pop,0.164651020408
dansktop,0.147757142857
surf music,0.262788
thai idol,0.160422
gabba,0.2396125
gothic rock,0.229208163265
chaotic hardcore,0.29831
nu age,0.136086
bhangra,0.178076
canzone napoletana,0.28747
retro metal,0.168269387755
cello,0.17956
mandible,0.138518
ballroom,0.171316
ye ye,0.204006
tango,0.172542857143
swedish jazz,0.160902040816
dixieland,0.171498
old-time,0.187933333333
laboratorio,0.162212244898
mashup,0.205934693878
christelijk,0.275308695652
freakbeat,0.168682
punjabi,0.187012244898
alternative roots rock,0.191024
futurepop,0.191026
vancouver indie,0.18042
christian punk,0.21009
choro,0.226038
african rock,0.21141
deep talent show,0.155576
e6fi,0.198448
drone metal,0.170924489796
nordic house,0.177959183673
electro bailando,0.169184
early music,0.132108
psychobilly,0.258028
hawaiian,0.162648
horror punk,0.237272
andean,0.210004
russian hip hop,0.251048979592
detroit techno,0.152728571429
progressive psytrance,0.178116326531
comedy rock,0.21847755102
thai pop,0.17999
psychill,0.199928571429
orchestral,0.151584
tribal house,0.165552083333
atmospheric black metal,0.217054
progressive trance house,0.261060416667
deep indian pop,0.171744897959
jazz trio,0.169338
classical performance,0.160492
persian pop,0.216164
fado,0.128716
classical piano,0.145628571429
uk hip hop,0.205410204082
voidgaze,0.19402
danish hip hop,0.190428571429
zouk riddim,0.159514
israeli rock,0.18892
czech rock,0.223767346939
swedish reggae,0.214236170213
exotica,0.156122
praise,0.238684
theme,0.13994
hungarian rock,0.220034
athens indie,0.199046
neo-trad metal,0.199692
dub techno,0.154628571429
norwegian metal,0.190940816327
venezuelan rock,0.247664
choral,0.123682608696
aggrotech,0.228524
neo-progressive,0.202475510204
turkish alternative,0.1779875
hungarian pop,0.199956818182
classic colombian pop,0.135678
kizomba,0.140422
avant-garde,0.163082
columbus ohio indie,0.294983673469
czech folk,0.206372340426
anime score,0.145688
visual kei,0.196422
mizrahi,0.229196
barnemusikk,0.190998
abstract beats,0.20967755102
italian metal,0.31452
popgaze,0.193502040816
indian folk,0.193408
deep latin alternative,0.181572916667
power-pop punk,0.268046
ok indie,0.210398
deep chill,0.176527083333
classic turkish pop,0.211754
french movie tunes,0.228053061224
bubble trance,0.163385714286
goregrind,0.216987755102
j-indie,0.176294
vintage italian soundtrack,0.164984
melodic hard rock,0.212086
deep tech house,0.155620833333
dark cabaret,0.190842
shibuya-kei,0.175489583333
deep pop punk,0.17433125
folkmusik,0.1331
power blues-rock,0.253738
rai,0.2031
p funk,0.26705
swedish punk,0.229308695652
russian punk,0.160804
spanish reggae,0.18702
black thrash,0.24465
fidget house,0.193857142857
shimmer psych,0.195284
musica nativista,0.28135
albanian pop,0.153934
horrorcore,0.337848
basque rock,0.22835106383
violin,0.150113636364
nu skool breaks,0.211928
melodic power metal,0.245526
turkish classical,0.165842857143
highlife,0.201448
belly dance,0.14116
string quartet,0.1536
classic belgian pop,0.203779591837
indie psych-pop,0.16802244898
southern gospel,0.192175510204
chiptune,0.233982
soukous,0.168782
lds,0.114751020408
instrumental post rock,0.114295918367
irish country,0.212965306122
brass band,0.212308
classic polish pop,0.204534042553
bouncy house,0.239548
vintage swedish pop,0.182085106383
timba,0.217036
classic peruvian pop,0.184134693878
renaissance,0.114938
acid techno,0.153784
norwegian gospel,0.240412
yugoslav rock,0.202159183673
dominican pop,0.147592
classic icelandic pop,0.168965957447
arab folk,0.174447916667
southern soul blues,0.152756
perth indie,0.206124
neue deutsche welle,0.250081632653
swiss rock,0.21227
zouk,0.153334
deep melodic metalcore,0.354726
sega,0.205757142857
mod revival,0.170442
pakistani pop,0.133630612245
deep soul house,0.172096
french folk pop,0.1671125
deep christian rock,0.197458
c86,0.24171
rio de la plata,0.179375
native american,0.142114285714
college a cappella,0.154802
uk dub,0.201653061224
jazz bass,0.17705
miami bass,0.235116
ambient idm,0.118164
polish reggae,0.217834693878
nordic folk,0.235386
hauntology,0.175072
vienna indie,0.18434375
swamp pop,0.139638
modern uplift,0.169452083333
catalan folk,0.2458125
chanson quebecois,0.218364583333
girl group,0.236392
brazilian composition,0.127283333333
digital hardcore,0.239544
hip hop tuga,0.167982978723
hip hop quebecois,0.1864625
deep neofolk,0.157718367347
vintage french electronic,0.172797959184
samba-enredo,0.511208695652
vocaloid,0.225432653061
italian jazz,0.234294
croatian pop,0.183714583333
spanish folk,0.194964
hard minimal techno,0.180157142857
vintage tango,0.185212
desert blues,0.134226
garage punk,0.25356
bounce,0.197293181818
hiplife,0.169739583333
mexican son,0.129858333333
german oi,0.228481632653
classical guitar,0.101671428571
drumfunk,0.17197755102
czech hip hop,0.178760869565
appalachian folk,0.180783673469
vietnamese pop,0.163636
balkan brass,0.208112
free improvisation,0.139706382979
riot grrrl,0.18159
rosary,0.175156
electronica,0.145912
underground latin hip hop,0.19424375
karneval,0.271759574468
serialism,0.142967346939
cante flamenco,0.183368085106
tico,0.200132653061
boogie-woogie,0.15968
morna,0.154668
ecuadoria,0.173973469388
traditional rock 'n roll,0.211172
estonian pop,0.172968
tin pan alley,0.14458
german show tunes,0.14601
disco polo,0.221514
portuguese pop,0.142906521739
mbalax,0.155414285714
harpsichord,0.1447
deep soundtrack,0.122282
polish indie,0.220473469388
cyber metal,0.238569387755
kids dance party,0.151076
metal guitar,0.178024
thrash core,0.240638
outsider,0.188624489796
full on,0.2419375
composition d,0.12253125
deep liquid,0.163081632653
kompa,0.166514
new age piano,0.1097
heavy alternative,0.181285714286
jumpstyle,0.203326
electropunk,0.152178
classic czech pop,0.187793023256
stomp and whittle,0.232958
slovak hip hop,0.196726666667
beats,0.151753061224
brutal deathcore,0.276116
finnish indie,0.159135416667
makossa,0.165165306122
qawwali,0.181282
kwaito house,0.137646938776
witch house,0.149204081633
j-ambient,0.125231428571
atmospheric post rock,0.141274
zillertal,0.118304347826
gothic alternative,0.197524
funk carioca,0.218052083333
latvian pop,0.14570212766
crust punk,0.25377
oshare kei,0.229204166667
blackgaze,0.215318367347
psych gaze,0.177934693878
grunge pop,0.175306122449
orquesta tropical,0.156455102041
ghazal,0.210942
classic venezuelan pop,0.155512244898
rva indie,0.238456
irish indie,0.24063
denver indie,0.21974
world chill,0.195430612245
deep gothic post-punk,0.178398
ethiopian pop,0.183287755102
deep rai,0.24362826087
electro dub,0.197226086957
traditional ska,0.16408
hungarian hip hop,0.215915555556
fake,0.20546
beatdown,0.21088
deep acoustic pop,0.124497959184
drone folk,0.129365306122
canadian hip hop,0.225989795918
louisville indie,0.173896
dirty texas rap,0.202634693878
neofolk,0.183259183673
neo-rockabilly,0.157892
judaica,0.23902
deep flow,0.200371052632
japanese psychedelic,0.190078
ragtime,0.166608163265
anarcho-punk,0.230858
workout,0.185508
austrian hip hop,0.17394375
guidance,0.186056
traditional british folk,0.163273469388
calypso,0.185694
orquesta tipica,0.192926
swiss hip hop,0.21693125
geek rock,0.185775510204
deep adult standards,0.211758
blaskapelle,0.117276595745
classic french pop,0.21457
nwothm,0.205251020408
deep smooth jazz,0.150546
deep dance pop,0.155995918367
dark black metal,0.213053061224
abstract,0.146089583333
tone,0.11566875
neo-synthpop,0.173194
minimal melodic techno,0.11110212766
nerdcore,0.203866
ukulele,0.125952
kurdish folk,0.205142857143
ukrainian rock,0.143924489796
kayokyoku,0.236534693878
new beat,0.2212375
lithumania,0.140477083333
modern southern rock,0.225292
euroska,0.229685416667
k-rock,0.154967346939
classic soundtrack,0.14632
zouglou,0.186279591837
australian indie,0.193566
indie emo,0.157987755102
lo star,0.158514
atmospheric post-metal,0.256274
broken beat,0.119982
acousmatic,0.130722
minimal wave,0.188075510204
solipsynthm,0.234873469388
swedish prog,0.179364
alternative americana,0.156095918367
darkstep,0.24593877551
nl folk,0.165522
marching band,0.226440816327
lounge house,0.210168085106
semba,0.13933125
underground power pop,0.176688
psychedelic blues-rock,0.229260416667
crack rock steady,0.261204
vegan straight edge,0.168791836735
motivation,0.248220833333
schranz,0.154883673469
traditional swing,0.166372916667
chalga,0.230693877551
musiikkia lapsille,0.260169565217
footwork,0.156984
breakcore,0.159840816327
yoik,0.15999375
leeds indie,0.196691836735
tribute,0.248181632653
funky breaks,0.16926122449
indian classical,0.23775625
didgeridoo,0.184144680851
classic dutch pop,0.157455102041
slc indie,0.167744
deep contemporary country,0.168289795918
danish indie,0.186883333333
belgian indie,0.185422916667
jazz brass,0.144444897959
deep brazilian pop,0.171553191489
corrosion,0.252512
black death,0.262008
japanese jazztronica,0.168214
electro trash,0.198804081633
classic afrobeat,0.168888
gothic americana,0.167618367347
slavic metal,0.208138
dark hardcore,0.316102173913
scratch,0.166887755102
traditional scottish folk,0.198985714286
hebrew pop,0.177196
garage punk blues,0.18042
hindustani classical,0.22695625
indie singer-songwriter,0.15645
deep german punk,0.225606521739
deep disco,0.13932
electronicore,0.250444897959
zydeco,0.118862
usbm,0.206288
string folk,0.180536734694
beach music,0.187945652174
luk thung,0.193751020408
michigan indie,0.143256
south african jazz,0.136458
islamic recitation,0.249471428571
spanish invasion,0.2017375
russian alternative,0.228760416667
deep orchestral,0.0981234042553
mallet,0.133127083333
dark ambient,0.13047755102
ragga jungle,0.255775
progressive alternative,0.167504
fast melodic punk,0.221902173913
martial industrial,0.223871052632
deep discofox,0.302787755102
enka,0.1946625
kwaito,0.138934693878
porro,0.162236
power violence,0.26908
finnish hardcore,0.269388636364
neurostep,0.243052083333
classic russian pop,0.189642857143
vapor house,0.153851020408
deep melodic hard rock,0.250093877551
downtempo fusion,0.207766
ostrock,0.233234782609
spanish classical,0.21195106383
monastic,0.121081632653
string band,0.346124
ambient psychill,0.208348979592
faroese pop,0.181763265306
musica per bambini,0.174029166667
rebetiko,0.185704166667
romanian rock,0.162763829787
panpipe,0.154275
afrikaans,0.21158125
abstract idm,0.143706122449
deep psychobilly,0.22253
ugandan pop,0.221532
bass trip,0.151826
power electronics,0.13214
french punk,0.223887755102
library music,0.177528571429
j-reggae,0.203139130435
russian folk,0.210134
musique pour enfants,0.163302040816
hard house,0.284622916667
concert piano,0.18266122449
trash rock,0.242822916667
wind ensemble,0.153644
deep liquid bass,0.160755319149
deep jazz guitar,0.189963265306
norwegian jazz,0.137187179487
neo metal,0.210706122449
gospel reggae,0.211835416667
traditional soul,0.189308
persian traditional,0.118186
coupe decale,0.147751020408
italian progressive rock,0.168769387755
manele,0.202040425532
magyar,0.189156818182
melodic progressive metal,0.208967391304
japanoise,0.202665306122
bay area hip hop,0.168866
german ccm,0.1552
bossa nova jazz,0.163435416667
deep opera,0.207655555556
greek indie,0.175414285714
consort,0.134906122449
