id, value
shibuya-kei,0.627291666667
deep pop punk,0.4815
folkmusik,0.469044444444
power blues-rock,0.52154
rai,0.651714285714
p funk,0.689
swedish punk,0.415152173913
russian punk,0.62196
spanish reggae,0.7025
black thrash,0.298038
fidget house,0.738571428571
shimmer psych,0.54934
musica nativista,0.682
albanian pop,0.7189
horrorcore,0.66326
basque rock,0.474170212766
violin,0.2922
nu skool breaks,0.6434
melodic power metal,0.47516
turkish classical,0.45306122449
highlife,0.69886
belly dance,0.65026
string quartet,0.49123
classic belgian pop,0.56606122449
indie psych-pop,0.486714285714
southern gospel,0.47987755102
chiptune,0.48644
soukous,0.63988
lds,0.329632653061
instrumental post rock,0.269963265306
irish country,0.531244897959
brass band,0.60548
classic polish pop,0.534872340426
bouncy house,0.5325
vintage swedish pop,0.548574468085
timba,0.7107
classic peruvian pop,0.676204081633
renaissance,0.241914
acid techno,0.6598
norwegian gospel,0.37948
yugoslav rock,0.641387755102
dominican pop,0.70778
classic icelandic pop,0.606191489362
arab folk,0.454058333333
southern soul blues,0.77282
perth indie,0.59294
neue deutsche welle,0.704448979592
swiss rock,0.55616
zouk,0.66258
deep melodic metalcore,0.38874
sega,0.695020408163
mod revival,0.4813
pakistani pop,0.572489795918
deep soul house,0.7551
french folk pop,0.675354166667
deep christian rock,0.4625
c86,0.47186
rio de la plata,0.690708333333
native american,0.355653061224
college a cappella,0.464
uk dub,0.779040816327
jazz bass,0.52402
miami bass,0.86012
ambient idm,0.45552
polish reggae,0.647408163265
nordic folk,0.40736
hauntology,0.3805
vienna indie,0.553125
swamp pop,0.59726
modern uplift,0.495333333333
catalan folk,0.587541666667
chanson quebecois,0.51125
girl group,0.51716
brazilian composition,0.415083333333
digital hardcore,0.548408163265
hip hop tuga,0.699042553191
hip hop quebecois,0.673
deep neofolk,0.555714285714
vintage french electronic,0.472432653061
samba-enredo,0.551108695652
vocaloid,0.523918367347
italian jazz,0.43258
croatian pop,0.637270833333
spanish folk,0.53924
hard minimal techno,0.810102040816
vintage tango,0.57828
desert blues,0.57636
garage punk,0.357044
bounce,0.774977272727
hiplife,0.767208333333
mexican son,0.639041666667
german oi,0.452979591837
classical guitar,0.421510204082
drumfunk,0.559306122449
czech hip hop,0.67702173913
appalachian folk,0.582040816327
vietnamese pop,0.61464
balkan brass,0.6909
free improvisation,0.407340425532
riot grrrl,0.44824
rosary,0.35478
electronica,0.6221
underground latin hip hop,0.714104166667
karneval,0.618127659574
serialism,0.247475510204
cante flamenco,0.566978723404
tico,0.629
boogie-woogie,0.61852
morna,0.64862
ecuadoria,0.661693877551
traditional rock 'n roll,0.55348
estonian pop,0.53988
tin pan alley,0.44988
german show tunes,0.4225
disco polo,0.70948
portuguese pop,0.724804347826
mbalax,0.619551020408
harpsichord,0.271892
deep soundtrack,0.182254
polish indie,0.571183673469
cyber metal,0.434571428571
kids dance party,0.77762
metal guitar,0.48216
thrash core,0.33534
outsider,0.514020408163
full on,0.595
composition d,0.212808333333
deep liquid,0.497
kompa,0.64418
new age piano,0.34206
heavy alternative,0.448408163265
jumpstyle,0.54866
electropunk,0.74588
classic czech pop,0.546372093023
stomp and whittle,0.52398
slovak hip hop,0.690977777778
beats,0.71412244898
brutal deathcore,0.40576
finnish indie,0.574354166667
makossa,0.668693877551
qawwali,0.54108
kwaito house,0.746469387755
witch house,0.489151020408
j-ambient,0.460428571429
atmospheric post rock,0.3696
zillertal,0.656956521739
gothic alternative,0.46888
funk carioca,0.8309375
latvian pop,0.669085106383
crust punk,0.30224
oshare kei,0.5088125
blackgaze,0.276655102041
psych gaze,0.433448979592
grunge pop,0.489081632653
orquesta tropical,0.705387755102
ghazal,0.49962
classic venezuelan pop,0.631081632653
rva indie,0.4581
irish indie,0.5915
denver indie,0.53294
world chill,0.555244897959
deep gothic post-punk,0.49496
ethiopian pop,0.604714285714
deep rai,0.66052173913
electro dub,0.698260869565
traditional ska,0.6753
hungarian hip hop,0.696422222222
fake,0.65996
beatdown,0.36656
deep acoustic pop,0.557448979592
drone folk,0.372795918367
canadian hip hop,0.742836734694
louisville indie,0.43364
dirty texas rap,0.748040816327
neofolk,0.430102040816
neo-rockabilly,0.5956
judaica,0.50256
deep flow,0.672947368421
japanese psychedelic,0.413004
ragtime,0.57587755102
anarcho-punk,0.42232
workout,0.74938
austrian hip hop,0.614541666667
guidance,0.56356
traditional british folk,0.495265306122
calypso,0.62558
orquesta tipica,0.60568
swiss hip hop,0.708833333333
geek rock,0.676408163265
deep adult standards,0.5372
blaskapelle,0.600276595745
classic french pop,0.66438
nwothm,0.372530612245
deep smooth jazz,0.66006
deep dance pop,0.661530612245
dark black metal,0.272687755102
abstract,0.477591666667
tone,0.175425
neo-synthpop,0.60206
minimal melodic techno,0.720234042553
nerdcore,0.73908
ukulele,0.66062
kurdish folk,0.610632653061
ukrainian rock,0.608816326531
kayokyoku,0.490265306122
new beat,0.626354166667
lithumania,0.707208333333
modern southern rock,0.51442
euroska,0.559208333333
k-rock,0.638734693878
classic soundtrack,0.38532
zouglou,0.719183673469
australian indie,0.54818
indie emo,0.600857142857
lo star,0.54896
atmospheric post-metal,0.34644
broken beat,0.73438
acousmatic,0.292294
minimal wave,0.611102040816
solipsynthm,0.615510204082
swedish prog,0.407748
alternative americana,0.537326530612
darkstep,0.50506122449
nl folk,0.60824
marching band,0.476285714286
lounge house,0.593404255319
semba,0.646479166667
underground power pop,0.49908
psychedelic blues-rock,0.402104166667
crack rock steady,0.43284
vegan straight edge,0.594530612245
motivation,0.568333333333
schranz,0.742979591837
traditional swing,0.640770833333
chalga,0.739469387755
musiikkia lapsille,0.660434782609
footwork,0.63858
breakcore,0.544285714286
yoik,0.446333333333
leeds indie,0.486530612245
tribute,0.465163265306
funky breaks,0.750551020408
indian classical,0.4618125
didgeridoo,0.514121276596
classic dutch pop,0.634653061224
slc indie,0.46882
deep contemporary country,0.581510204082
danish indie,0.565875
belgian indie,0.591020833333
jazz brass,0.495693877551
deep brazilian pop,0.606106382979
corrosion,0.55272
black death,0.220324
japanese jazztronica,0.6179
electro trash,0.666020408163
classic afrobeat,0.65776
gothic americana,0.551285714286
slavic metal,0.398566
dark hardcore,0.44102173913
scratch,0.719551020408
traditional scottish folk,0.422948979592
hebrew pop,0.67394
garage punk blues,0.58514
hindustani classical,0.411666666667
indie singer-songwriter,0.49488
deep german punk,0.479391304348
deep disco,0.73044
electronicore,0.416795918367
zydeco,0.65356
usbm,0.18868
string folk,0.337489795918
beach music,0.653739130435
luk thung,0.600979591837
michigan indie,0.54382
south african jazz,0.6058
islamic recitation,0.424387755102
spanish invasion,0.569541666667
russian alternative,0.543020833333
deep orchestral,0.302240425532
mallet,0.600541666667
dark ambient,0.157265306122
ragga jungle,0.663541666667
progressive alternative,0.48728
fast melodic punk,0.41002173913
martial industrial,0.391152631579
deep discofox,0.637959183673
enka,0.477229166667
kwaito,0.746265306122
porro,0.6833
power violence,0.280976
finnish hardcore,0.424227272727
neurostep,0.553666666667
classic russian pop,0.696326530612
vapor house,0.653387755102
deep melodic hard rock,0.411367346939
downtempo fusion,0.57356
ostrock,0.550673913043
spanish classical,0.382765957447
monastic,0.231734693878
string band,0.5768
ambient psychill,0.603959183673
faroese pop,0.529673469388
musica per bambini,0.688520833333
rebetiko,0.597229166667
romanian rock,0.644446808511
panpipe,0.427729166667
afrikaans,0.6645625
abstract idm,0.534224489796
deep psychobilly,0.50956
ugandan pop,0.75912
bass trip,0.64762
power electronics,0.7532
french punk,0.456163265306
library music,0.500142857143
j-reggae,0.672347826087
russian folk,0.39924
musique pour enfants,0.688816326531
hard house,0.6128125
concert piano,0.321657142857
trash rock,0.4439375
wind ensemble,0.170428
deep liquid bass,0.623021276596
deep jazz guitar,0.449979591837
norwegian jazz,0.421820512821
neo metal,0.447040816327
gospel reggae,0.66
traditional soul,0.52364
persian traditional,0.45002
coupe decale,0.715816326531
italian progressive rock,0.431489795918
manele,0.769765957447
magyar,0.556931818182
melodic progressive metal,0.369152173913
japanoise,0.369195918367
bay area hip hop,0.70636
german ccm,0.489782608696
bossa nova jazz,0.6196875
deep opera,0.236804444444
greek indie,0.650530612245
consort,0.262508163265
chaotic black metal,0.220939583333
classic schlager,0.579456521739
rap metalcore,0.57186
slam death metal,0.356208333333
