genre,instrumentalness
german oi,0.0338411128571
classical guitar,0.852371118367
drumfunk,0.62037072449
czech hip hop,0.000292131304348
appalachian folk,0.0482310055102
vietnamese pop,0.002187809
balkan brass,0.2478126324
free improvisation,0.501593265957
riot grrrl,0.140690523
rosary,0.3167713796
electronica,0.6100792832
underground latin hip hop,0.000291287291667
karneval,0.00154273042553
serialism,0.709313530612
cante flamenco,0.112454528511
tico,0.0307635673469
boogie-woogie,0.091118503
morna,0.0135407046
ecuadoria,0.000313986530612
traditional rock 'n roll,0.0431902558
estonian pop,0.0761564868
tin pan alley,0.3822786366
german show tunes,0.01968975175
disco polo,0.0113106776
portuguese pop,0.00168629195652
mbalax,0.0730240636735
harpsichord,0.635072326
deep soundtrack,0.7804613176
polish indie,0.052111734898
cyber metal,0.153009091429
kids dance party,0.0369043528
metal guitar,0.67274662
thrash core,0.337802688
outsider,0.188566856122
full on,0.727125
composition d,0.695981097917
deep liquid,0.408366910204
kompa,0.0128250988
new age piano,0.88696
heavy alternative,0.0102070636735
jumpstyle,0.1403527114
electropunk,0.3351938852
classic czech pop,0.00050383627907
stomp and whittle,0.0482294916
slovak hip hop,0.002678838
beats,0.669840934898
brutal deathcore,0.1598234794
finnish indie,0.472234594375
makossa,0.0225691557143
qawwali,0.0048406382
kwaito house,0.167789403061
witch house,0.362850656327
j-ambient,0.626323685714
atmospheric post rock,0.750657168
zillertal,0.260849669783
gothic alternative,0.012006754
funk carioca,0.000103115208333
latvian pop,0.0913194380851
crust punk,0.362188832
oshare kei,0.07588791375
blackgaze,0.718427755102
psych gaze,0.506673189592
grunge pop,0.0155541955102
orquesta tropical,0.00405453081633
ghazal,0.0308934722
classic venezuelan pop,0.00947346918367
rva indie,0.216438797
irish indie,0.1603721844
denver indie,0.1364786934
world chill,0.469257081633
deep gothic post-punk,0.3732973352
ethiopian pop,0.226414572857
deep rai,0.00481154608696
electro dub,0.416981908261
traditional ska,0.081537032
hungarian hip hop,0.00258818622222
fake,0.09143335
beatdown,0.188147008
deep acoustic pop,0.0765088844898
drone folk,0.765753408163
canadian hip hop,0.00123594020408
louisville indie,0.1374625244
dirty texas rap,0.000807512857143
neofolk,0.341534174082
neo-rockabilly,0.0185916496
judaica,0.015027176
deep flow,0.00606826947368
japanese psychedelic,0.4865642086
ragtime,0.69326361898
anarcho-punk,0.1183047704
workout,0.1768257806
austrian hip hop,0.197773903958
guidance,0.053179296
traditional british folk,0.0597190732653
calypso,0.024721502
orquesta tipica,0.2360188188
swiss hip hop,0.11853709125
geek rock,0.0555735989796
deep adult standards,0.0056232924
blaskapelle,0.620797554468
classic french pop,0.0066219458
nwothm,0.133397205714
deep smooth jazz,0.498394466
deep dance pop,0.0134097895918
dark black metal,0.624024489796
abstract,0.768368333333
tone,0.853358958333
neo-synthpop,0.1671987282
minimal melodic techno,0.66077566617
nerdcore,0.000611484
ukulele,0.3147307404
kurdish folk,0.000283541020408
ukrainian rock,0.0116248759184
kayokyoku,0.00205541
new beat,0.264000476042
lithumania,0.17624663875
modern southern rock,0.0079013394
euroska,0.0695390516667
k-rock,0.0510825326531
classic soundtrack,0.5681158158
zouglou,0.0160077997959
australian indie,0.3112767642
indie emo,0.309040031224
lo star,0.1387399514
