genre,energy
faroese pop,0.442351020408
musica per bambini,0.437197916667
rebetiko,0.552541666667
romanian rock,0.677787234043
panpipe,0.479566666667
afrikaans,0.730875
abstract idm,0.455579591837
deep psychobilly,0.82718
ugandan pop,0.78146
bass trip,0.62314
power electronics,0.8006
french punk,0.881612244898
library music,0.525795918367
j-reggae,0.727239130435
russian folk,0.467016
musique pour enfants,0.33862244898
hard house,0.8595625
concert piano,0.139608979592
trash rock,0.870416666667
wind ensemble,0.0996812
deep liquid bass,0.786489361702
deep jazz guitar,0.254412244898
norwegian jazz,0.196264871795
neo metal,0.899632653061
gospel reggae,0.697375
traditional soul,0.63532
persian traditional,0.237848
coupe decale,0.883142857143
italian progressive rock,0.59687755102
manele,0.814170212766
magyar,0.529161363636
melodic progressive metal,0.896869565217
japanoise,0.636370367347
bay area hip hop,0.66482
german ccm,0.537793478261
bossa nova jazz,0.520164583333
deep opera,0.234511111111
greek indie,0.681510204082
consort,0.150753673469
