,genre,energy
678,italian disco,0.70924
679,harmonica blues,0.47906
680,arab pop,0.73406
681,puerto rican rock,0.728020408163
682,dubstep,0.82846
683,classic finnish pop,0.723
684,malaysian pop,0.460267346939
685,outsider house,0.55203
686,mexican rock-and-roll,0.46692
687,portuguese rock,0.601879591837
688,post-doom metal,0.70546
689,colombian rock,0.74538
690,sertanejo tradicional,0.687673469388
691,brutal death metal,0.9555
692,soul flow,0.63836
693,salsa international,0.677863265306
694,seattle indie,0.55088
695,avantgarde metal,0.73258
696,hardcore,0.93572
697,nasheed,0.379653061224
698,gbvfi,0.75134
699,psychedelic doom,0.7793
700,celtic punk,0.86172
701,grindcore,0.943
702,quebecois,0.54088
703,austropop,0.70522
704,brazilian ccm,0.503673469388
705,funky tech house,0.82158
706,riddim,0.726020408163
707,psychedelic trance,0.72672
708,speed garage,0.728770833333
709,baile funk,0.803489795918
710,classic russian rock,0.71593877551
711,freestyle,0.697063829787
712,j-poprock,0.80566
713,italian pop rock,0.727918367347
714,ebm,0.84426
715,math pop,0.71086
716,barnmusik,0.240183673469
717,spanish noise pop,0.655770833333
718,warm drone,0.101417755102
719,soca,0.78734
720,nursery,0.297346
721,ethereal wave,0.50949
722,nintendocore,0.82872
723,african gospel,0.65036
724,garage pop,0.7821
725,world meditation,0.12989226
726,destroy techno,0.75376
727,balearic,0.673408163265
728,progressive deathcore,0.95648
729,math rock,0.754395833333
730,laiko,0.78122
731,acid house,0.688775510204
732,albuquerque indie,0.64084
733,mande pop,0.546282
734,polish punk,0.662916666667
735,russiavision,0.7051
736,deep latin christian,0.55178
737,indie dream pop,0.585944
738,kindermusik,0.456545454545
739,emo punk,0.791341463415
740,entehno,0.73228
741,bassline,0.75324
742,k-indie,0.54153
743,classic finnish rock,0.688272916667
744,substep,0.5463
745,electrofox,0.51333
746,drill and bass,0.5654
747,turbo folk,0.844510204082
748,british alternative rock,0.88794
749,ambeat,0.55184
750,ska revival,0.672979591837
751,deep minimal techno,0.707355555556
752,bmore,0.758489795918
753,british indie rock,0.77588
754,canterbury scene,0.438178
755,musica para ninos,0.37361
756,romanian pop,0.75544
757,chill lounge,0.52506122449
758,rock catala,0.643893617021
759,free jazz,0.2959026
760,argentine indie,0.643714285714
761,deep comedy,0.79984
762,twee pop,0.66806
763,classic garage rock,0.65
764,volksmusik,0.645760869565
765,post-post-hardcore,0.935
766,electro-industrial,0.85478
767,gypsy jazz,0.398126
768,oi,0.87934
769,latin electronica,0.728
770,straight edge,0.90558
771,christian hardcore,0.93028
772,kabarett,0.436106382979
773,kraut rock,0.2700054
774,steampunk,0.66178
775,singaporean pop,0.500040816327
776,swedish hard rock,0.843530612245
777,world fusion,0.529558
778,slovak pop,0.723408163265
779,dansktop,0.612536734694
780,surf music,0.71996
781,thai idol,0.61964
782,gabba,0.937708333333
783,gothic rock,0.810040816327
784,chaotic hardcore,0.91634
785,nu age,0.11856538
786,bhangra,0.78458
787,canzone napoletana,0.39904
788,retro metal,0.787163265306
789,cello,0.45129758
790,mandible,0.2483454
791,ballroom,0.342636
792,ye ye,0.57166
793,tango,0.224246122449
794,swedish jazz,0.237948979592
795,dixieland,0.256072
796,old-time,0.39874375
797,laboratorio,0.390328367347
798,mashup,0.782244897959
799,christelijk,0.481932608696
800,freakbeat,0.636544
801,punjabi,0.802632653061
802,alternative roots rock,0.569136
803,futurepop,0.81636
804,vancouver indie,0.73056
805,christian punk,0.80448
806,choro,0.415664
807,african rock,0.67814
808,deep talent show,0.63254
809,e6fi,0.659572
810,drone metal,0.599089795918
811,nordic house,0.748306122449
812,electro bailando,0.82418
813,early music,0.12115
814,psychobilly,0.8879
815,hawaiian,0.378228
816,horror punk,0.90972
817,andean,0.50502
818,russian hip hop,0.663591836735
819,detroit techno,0.67393877551
820,progressive psytrance,0.756102040816
821,comedy rock,0.613346938776
822,thai pop,0.6467
823,psychill,0.63606122449
824,orchestral,0.1191328
825,tribal house,0.795104166667
826,atmospheric black metal,0.75002
827,progressive trance house,0.788729166667
828,deep indian pop,0.706673469388
829,jazz trio,0.2529194
830,classical performance,0.1239128
831,persian pop,0.7668
832,fado,0.355528
833,classical piano,0.116921428571
834,uk hip hop,0.746367346939
835,voidgaze,0.70532
836,danish hip hop,0.705346938776
837,zouk riddim,0.77692
838,israeli rock,0.7486
839,czech rock,0.744020408163
840,swedish reggae,0.633659574468
841,exotica,0.392148
842,praise,0.6504
843,theme,0.42281
844,hungarian rock,0.88138
845,athens indie,0.667112
846,neo-trad metal,0.92518
847,dub techno,0.430912244898
848,norwegian metal,0.836836734694
849,venezuelan rock,0.72066
850,choral,0.098987826087
851,aggrotech,0.83552
852,neo-progressive,0.611979591837
853,turkish alternative,0.6744375
854,hungarian pop,0.783227272727
855,classic colombian pop,0.55256
856,kizomba,0.67194
857,avant-garde,0.11399184
858,columbus ohio indie,0.877714285714
859,czech folk,0.681042553191
860,anime score,0.3406724
861,visual kei,0.87338
862,mizrahi,0.78358
863,barnemusikk,0.301724
864,abstract beats,0.626183673469
865,italian metal,0.79196
866,popgaze,0.784367346939
867,indian folk,0.6567
868,deep latin alternative,0.638052083333
869,power-pop punk,0.90954
870,ok indie,0.58832
871,deep chill,0.55275
872,classic turkish pop,0.55172
873,french movie tunes,0.495918367347
874,bubble trance,0.853
875,goregrind,0.95393877551
876,j-indie,0.84096
877,vintage italian soundtrack,0.306648
878,melodic hard rock,0.8397
879,deep tech house,0.846270833333
880,dark cabaret,0.58808
881,shibuya-kei,0.638354166667
882,deep pop punk,0.8880625
883,folkmusik,0.479046666667
884,power blues-rock,0.72456
885,rai,0.710491836735
886,p funk,0.66406
887,swedish punk,0.897652173913
888,russian punk,0.67966
889,spanish reggae,0.6769
890,black thrash,0.90896
891,fidget house,0.798693877551
