,genre,instrumentalness
655,medieval rock,0.0310442561224
656,irish folk,0.073347138
657,jungle,0.226175397
658,chamame,0.00189104
659,scottish rock,0.0552451862
660,rap chileno,0.0338079562
661,classic chinese pop,0.001338104
662,dark wave,0.274947162
663,progressive uplifting trance,0.550736481333
664,orgcore,0.0659401253333
665,austindie,0.118829524
666,idol,0.0139190428
667,chicago indie,0.1384531006
668,medieval,0.489566622
669,avant-garde jazz,0.471033938
670,eurovision,0.000930599591837
671,bay area indie,0.1510665468
672,romantico,0.6535937
673,western swing,0.0166570074
674,russian rock,0.0155791218
675,japanese city pop,0.1717849238
676,new orleans jazz,0.3764180262
677,j-idol,0.0259067104
678,italian disco,0.122769278
679,harmonica blues,0.0876236054
680,arab pop,0.0044740104
681,puerto rican rock,8.19883673469e-05
682,dubstep,0.2233727596
683,classic finnish pop,0.0334606464444
684,malaysian pop,0.00773120346939
685,outsider house,0.5916848
686,mexican rock-and-roll,0.0087774886
687,portuguese rock,0.0791491516327
688,post-doom metal,0.6124758
689,colombian rock,0.044495501
690,sertanejo tradicional,2.59387755102e-07
691,brutal death metal,0.436292628
692,soul flow,0.0217714218
693,salsa international,0.0196773146939
694,seattle indie,0.0801175322
695,avantgarde metal,0.475134684
696,hardcore,0.1670589704
697,nasheed,0.0224004989796
698,gbvfi,0.107519487
699,psychedelic doom,0.35610422
700,celtic punk,0.045024355
701,grindcore,0.536718191837
702,quebecois,0.0315885742
703,austropop,0.0459379236
704,brazilian ccm,0.000682188163265
705,funky tech house,0.5802965434
706,riddim,2.1783877551e-05
707,psychedelic trance,0.61763126
708,speed garage,0.195642746458
709,baile funk,0.0249166677551
710,classic russian rock,0.0265783308163
711,freestyle,0.0656886993617
712,j-poprock,0.0076278364
713,italian pop rock,0.000838705918367
714,ebm,0.3079371268
715,math pop,0.3422970678
716,barnmusik,0.0226395167347
717,spanish noise pop,0.129933820417
718,warm drone,0.88293877551
719,soca,0.0001888544
720,nursery,0.3645965452
721,ethereal wave,0.4872035198
722,nintendocore,0.0597824608
723,african gospel,0.009427222
724,garage pop,0.166727573
725,world meditation,0.740174117
726,destroy techno,0.3562856
727,balearic,0.459024520408
728,progressive deathcore,0.1573357206
729,math rock,0.249762507917
730,laiko,1.02442e-05
731,acid house,0.589047271429
732,albuquerque indie,0.0473541196
733,mande pop,0.2862120678
734,polish punk,0.161303682708
735,russiavision,0.0018129312
736,deep latin christian,4.51282e-05
737,indie dream pop,0.402937498
738,kindermusik,0.00225800590909
739,emo punk,0.0845098685366
740,entehno,5.20898e-05
741,bassline,0.0572498546
742,k-indie,0.0454237508
743,classic finnish rock,0.105948612917
744,substep,0.3971076584
745,electrofox,0.353834408
746,drill and bass,0.630155023878
747,turbo folk,6.09975510204e-05
748,british alternative rock,0.0320672124
749,ambeat,0.5158074364
750,ska revival,0.100254991429
751,deep minimal techno,0.832377777778
752,bmore,0.0790341797959
753,british indie rock,0.0717547742
