,genre,loudness
657,jungle,-3.81062
658,chamame,-6.78422
659,scottish rock,-6.81846
660,rap chileno,-6.1286
661,classic chinese pop,-9.70068
662,dark wave,-8.02106
663,progressive uplifting trance,-7.7072
664,orgcore,-4.61373333333
665,austindie,-7.58442
666,idol,-6.24258
667,chicago indie,-7.29226
668,medieval,-12.2579
669,avant-garde jazz,-14.3701
670,eurovision,-6.13581632653
671,bay area indie,-7.2366
672,romantico,-12.7419
673,western swing,-12.69334
674,russian rock,-6.42666
675,japanese city pop,-6.2996
676,new orleans jazz,-13.05794
677,j-idol,-2.99082
678,italian disco,-8.3686
679,harmonica blues,-11.10628
680,arab pop,-6.93912
681,puerto rican rock,-6.55932653061
682,dubstep,-4.52696
683,classic finnish pop,-7.95524444444
684,malaysian pop,-9.16744897959
685,outsider house,-11.60982
686,mexican rock-and-roll,-9.4026
687,portuguese rock,-8.09028571429
688,post-doom metal,-7.76722
689,colombian rock,-6.3205
690,sertanejo tradicional,-5.68575510204
691,brutal death metal,-5.10718
692,soul flow,-7.51162
693,salsa international,-8.04767346939
694,seattle indie,-8.28566
695,avantgarde metal,-6.69122
696,hardcore,-5.10428
697,nasheed,-11.6395918367
698,gbvfi,-8.0261
699,psychedelic doom,-6.9081
700,celtic punk,-4.91834
701,grindcore,-5.40946938776
702,quebecois,-8.0134
703,austropop,-7.2565
704,brazilian ccm,-8.47555102041
705,funky tech house,-6.6227
706,riddim,-5.58730612245
707,psychedelic trance,-7.63854
708,speed garage,-7.64583333333
709,baile funk,-4.27446938776
710,classic russian rock,-6.62836734694
711,freestyle,-9.06072340426
712,j-poprock,-4.60114
713,italian pop rock,-5.18151020408
714,ebm,-6.98708
715,math pop,-7.70602
716,barnmusik,-15.6351836735
717,spanish noise pop,-7.67004166667
718,warm drone,-24.3195306122
719,soca,-5.48468
720,nursery,-14.30516
721,ethereal wave,-10.6973
722,nintendocore,-5.4489
723,african gospel,-6.59524
724,garage pop,-5.5839
725,world meditation,-20.83812
726,destroy techno,-6.40706
727,balearic,-8.4347755102
728,progressive deathcore,-4.00522
729,math rock,-8.18108333333
730,laiko,-5.82722
731,acid house,-10.5215918367
732,albuquerque indie,-7.16392
733,mande pop,-10.22862
734,polish punk,-8.62479166667
735,russiavision,-5.92782
736,deep latin christian,-7.42054
737,indie dream pop,-9.20552
738,kindermusik,-7.40336363636
739,emo punk,-6.32014634146
740,entehno,-6.24946
741,bassline,-5.54954
742,k-indie,-6.25712
743,classic finnish rock,-8.39777083333
744,substep,-9.79318
745,electrofox,-11.09646
746,drill and bass,-11.7418163265
747,turbo folk,-4.01889795918
748,british alternative rock,-3.7787
749,ambeat,-8.4366
750,ska revival,-8.26875510204
751,deep minimal techno,-8.60673333333
752,bmore,-6.16357142857
753,british indie rock,-6.10114
754,canterbury scene,-14.0928
755,musica para ninos,-11.48318
756,romanian pop,-5.51904
757,chill lounge,-10.9967755102
758,rock catala,-8.29504255319
759,free jazz,-14.61634
760,argentine indie,-7.56979591837
761,deep comedy,-8.28974
762,twee pop,-8.03906
763,classic garage rock,-9.72685714286
764,volksmusik,-7.789
765,post-post-hardcore,-4.17646
766,electro-industrial,-6.44304
767,gypsy jazz,-11.6287
768,oi,-7.0068
769,latin electronica,-6.69728
770,straight edge,-5.35214
771,christian hardcore,-4.68668
772,kabarett,-13.4781702128
773,kraut rock,-18.3908
774,steampunk,-7.28348
775,singaporean pop,-7.28746938776
776,swedish hard rock,-6.53597959184
777,world fusion,-10.29734
778,slovak pop,-6.32389795918
779,dansktop,-8.44324489796
780,surf music,-10.05272
781,thai idol,-6.64476
782,gabba,-4.08204166667
783,gothic rock,-8.3827755102
784,chaotic hardcore,-4.2213
785,nu age,-23.12974
786,bhangra,-5.20266
787,canzone napoletana,-11.11184
788,retro metal,-6.41516326531
789,cello,-10.95358
790,mandible,-20.30116
791,ballroom,-13.0211
792,ye ye,-8.66114
793,tango,-15.1995714286
794,swedish jazz,-17.2878367347
795,dixieland,-12.47906
796,old-time,-11.8558125
797,laboratorio,-13.6733061224
798,mashup,-6.08875510204
799,christelijk,-9.80654347826
800,freakbeat,-9.82526
801,punjabi,-4.71448979592
802,alternative roots rock,-8.20596
803,futurepop,-6.31148
804,vancouver indie,-5.99854
805,christian punk,-5.18452
806,choro,-13.13204
807,african rock,-7.26174
808,deep talent show,-5.69916
809,e6fi,-7.55098
810,drone metal,-9.4153877551
811,nordic house,-6.74253061224
812,electro bailando,-4.67716
813,early music,-23.21846
814,psychobilly,-6.09906
815,hawaiian,-12.2639
816,horror punk,-8.01178
817,andean,-10.3375
818,russian hip hop,-6.18253061224
819,detroit techno,-10.4763265306
820,progressive psytrance,-8.12051020408
821,comedy rock,-7.07567346939
822,thai pop,-6.24242
823,psychill,-9.62412244898
824,orchestral,-23.1408
825,tribal house,-7.28075
826,atmospheric black metal,-7.22066
827,progressive trance house,-7.797875
828,deep indian pop,-6.248
829,jazz trio,-17.77136
830,classical performance,-22.56988
831,persian pop,-5.69054
832,fado,-11.0074
833,classical piano,-21.9526666667
834,uk hip hop,-6.45053061224
835,voidgaze,-7.15002
836,danish hip hop,-6.16540816327
837,zouk riddim,-5.69534
838,israeli rock,-5.48624
839,czech rock,-6.54846938776
840,swedish reggae,-6.86961702128
841,exotica,-13.57818
842,praise,-6.85744
843,theme,-12.8868
844,hungarian rock,-4.2017
845,athens indie,-7.75616
846,neo-trad metal,-5.23676
847,dub techno,-15.7758367347
848,norwegian metal,-6.07997959184
849,venezuelan rock,-7.21706
850,choral,-24.0041304348
851,aggrotech,-6.48762
852,neo-progressive,-9.54502040816
853,turkish alternative,-6.52264583333
854,hungarian pop,-6.04504545455
855,classic colombian pop,-7.80276
856,kizomba,-6.83112
857,avant-garde,-25.05798
858,columbus ohio indie,-4.29244897959
859,czech folk,-7.11614893617
860,anime score,-14.80782
861,visual kei,-4.32188
862,mizrahi,-5.41844
863,barnemusikk,-11.4253
864,abstract beats,-7.90967346939
865,italian metal,-5.93208
866,popgaze,-6.62073469388
867,indian folk,-7.27094
868,deep latin alternative,-8.88814583333
869,power-pop punk,-4.84206
870,ok indie,-8.8144
871,deep chill,-11.2419583333
872,classic turkish pop,-9.68664
873,french movie tunes,-9.43165306122
874,bubble trance,-7.89165306122
875,goregrind,-5.251
876,j-indie,-4.05826
877,vintage italian soundtrack,-15.07388
