,genre,speechiness
523,finnish hip hop,0.112984
524,desi hip hop,0.0912530612245
525,schlager,0.0424469387755
526,melbourne bounce,0.126598
527,contemporary jazz,0.05053
528,drone,0.043374
529,symphonic metal,0.055582
530,spanish punk,0.0783775510204
531,filthstep,0.092518
532,louisiana blues,0.0602
533,children's music,0.082306122449
534,cubaton,0.0730612244898
535,velha guarda,0.091032
536,electroclash,0.0570448979592
537,jangle pop,0.045654
538,brazilian indie,0.0861224489796
539,chicano rap,0.164302040816
540,spanish hip hop,0.274873469388
541,uk drill,0.252188
542,folk punk,0.066788
543,k-hop,0.122774
544,retro electro,0.0485285714286
545,alternative r&b,0.122576
546,afrobeat,0.055694
547,polish pop,0.0480591836735
548,opera,0.045795
549,british folk,0.0371488372093
550,nu-cumbia,0.038376
551,a cappella,0.0720102040816
552,j-dance,0.088193877551
553,alternative pop rock,0.060848
554,j-rap,0.0963346938776
555,boston rock,0.065378
556,future garage,0.0999653061224
557,crossover thrash,0.106128
558,mathcore,0.093986
559,classic danish pop,0.0392183673469
560,german indie,0.045198
561,glitch,0.093314
562,coverchill,0.0383
563,jazz metal,0.083756
564,environmental,0.0834975
565,reading,0.9191875
566,filmi,0.079194
567,rumba,0.04601875
568,azonto,0.100824489796
569,levenslied,0.0524102040816
570,polynesian pop,0.114034
571,glitch hop,0.110842857143
572,melodipop,0.0638458333333
573,arabesk,0.0629918367347
574,zolo,0.060988
575,northern soul,0.042732
576,underground rap,0.20462
577,spanish new wave,0.045084
578,vapor pop,0.0443590909091
579,brazilian punk,0.092698
580,piano blues,0.088426
581,abstract hip hop,0.207108163265
582,deep turkish pop,0.073054
583,christian dance,0.05614
584,neoclassical,0.038546
585,norwegian hip hop,0.110202
586,liedermacher,0.058036
587,discofox,0.0783395833333
588,australian hip hop,0.169478
589,folk metal,0.097002
590,canadian country,0.0418869565217
591,strut,0.136227083333
592,breakbeat,0.089532
593,sludge metal,0.072376
594,italo dance,0.0634836734694
595,bluegrass,0.035746
596,new tribe,0.054196
597,neo-singer-songwriter,0.042326
598,finnish metal,0.063185106383
599,danseband,0.0442739130435
600,fluxwork,0.0787897959184
601,hardcore techno,0.086674
602,jump blues,0.09239
603,welsh rock,0.0607979591837
604,technical death metal,0.120136734694
605,german punk,0.0671346938776
606,fingerstyle,0.0425897959184
607,float house,0.067993877551
608,sleaze rock,0.062296
609,australian country,0.043958
610,deep uplifting trance,0.0641795918367
611,alternative ccm,0.03609375
612,folklore argentino,0.055356
613,kiwi rock,0.070986
614,alternative pop,0.048474
615,grave wave,0.056254
616,swamp blues,0.051982
617,electro jazz,0.08002
618,rock steady,0.110256
619,slow game,0.165632
620,j-metal,0.101254
621,post-metal,0.0550346938776
622,techno,0.056558
623,no wave,0.071768
624,russian pop,0.088244
625,stomp and flutter,0.03313
626,portland indie,0.0536142857143
627,dutch rock,0.058287755102
628,doom metal,0.0591
629,modern performance,0.039968
630,pagan black metal,0.0720645833333
631,black metal,0.087476
632,jump up,0.080846
633,pop flamenco,0.0922326530612
634,hard alternative,0.069984
635,christian metal,0.13847
636,kirtan,0.038878
637,neurofunk,0.08692
638,polish hip hop,0.140953061224
639,drift,0.043998
640,dark jazz,0.047266
641,peruvian rock,0.056464
642,deathgrind,0.137148
643,italian indie pop,0.072958
644,ectofolk,0.044754
645,symphonic black metal,0.087456
646,classic italian pop,0.050798
647,turkish hip hop,0.160358333333
648,cuban rumba,0.063888
649,brega,0.0532673469388
650,deep norteno,0.0489510204082
651,happy hardcore,0.119968
652,carnaval,0.0799085106383
653,belgian rock,0.08511
654,chicago house,0.061314
655,medieval rock,0.0747428571429
656,irish folk,0.0903466666667
657,jungle,0.07218
658,chamame,0.058328
659,scottish rock,0.045528
660,rap chileno,0.240332
661,classic chinese pop,0.034472
662,dark wave,0.047918
663,progressive uplifting trance,0.0622955555556
664,orgcore,0.0612244444444
665,austindie,0.05653
666,idol,0.048866
667,chicago indie,0.05279
668,medieval,0.0489
669,avant-garde jazz,0.04395
670,eurovision,0.0578265306122
671,bay area indie,0.077206
