,genre,danceability
559,classic danish pop,0.560020408163
560,german indie,0.62514
561,glitch,0.534104
562,coverchill,0.7254
563,jazz metal,0.42578
564,environmental,0.1554775
565,reading,0.662
566,filmi,0.63838
567,rumba,0.573895833333
568,azonto,0.758918367347
569,levenslied,0.562755102041
570,polynesian pop,0.74388
571,glitch hop,0.546979591837
572,melodipop,0.620541666667
573,arabesk,0.62812244898
574,zolo,0.66378
575,northern soul,0.58262
576,underground rap,0.72204
577,spanish new wave,0.60716
578,vapor pop,0.559386363636
579,brazilian punk,0.43412
580,piano blues,0.60638
581,abstract hip hop,0.667224489796
582,deep turkish pop,0.69652
583,christian dance,0.6174
584,neoclassical,0.319456
585,norwegian hip hop,0.64892
586,liedermacher,0.60844
587,discofox,0.657354166667
588,australian hip hop,0.66936
589,folk metal,0.41548
590,canadian country,0.574130434783
591,strut,0.746125
592,breakbeat,0.55698
593,sludge metal,0.330022
594,italo dance,0.709857142857
595,bluegrass,0.5272
596,new tribe,0.55014
597,neo-singer-songwriter,0.56902
598,finnish metal,0.432063829787
599,danseband,0.600913043478
600,fluxwork,0.53893877551
601,hardcore techno,0.58842
602,jump blues,0.60354
603,welsh rock,0.480836734694
604,technical death metal,0.375755102041
605,german punk,0.506
606,fingerstyle,0.458673469388
607,float house,0.740755102041
608,sleaze rock,0.49364
609,australian country,0.5943
610,deep uplifting trance,0.549102040816
611,alternative ccm,0.442333333333
612,folklore argentino,0.54764
613,kiwi rock,0.65614
614,alternative pop,0.4571
615,grave wave,0.58852
616,swamp blues,0.5856
617,electro jazz,0.73992
618,rock steady,0.77732
619,slow game,0.68092
620,j-metal,0.45488
621,post-metal,0.296673469388
622,techno,0.7004
623,no wave,0.53094
624,russian pop,0.69656
625,stomp and flutter,0.4919
626,portland indie,0.603306122449
627,dutch rock,0.570918367347
628,doom metal,0.310302
629,modern performance,0.258688
630,pagan black metal,0.282425
631,black metal,0.28986
632,jump up,0.50006
633,pop flamenco,0.683244897959
634,hard alternative,0.44604
635,christian metal,0.35872
636,kirtan,0.386796
637,neurofunk,0.48126
638,polish hip hop,0.651265306122
639,drift,0.168404
640,dark jazz,0.392058
641,peruvian rock,0.64964
642,deathgrind,0.346416
643,italian indie pop,0.63634
644,ectofolk,0.5283
645,symphonic black metal,0.32848
646,classic italian pop,0.467
647,turkish hip hop,0.649645833333
648,cuban rumba,0.63508
649,brega,0.588040816327
650,deep norteno,0.686163265306
651,happy hardcore,0.52918
652,carnaval,0.628191489362
653,belgian rock,0.62994
654,chicago house,0.71668
655,medieval rock,0.444265306122
656,irish folk,0.553266666667
657,jungle,0.52358
658,chamame,0.61352
659,scottish rock,0.4827
660,rap chileno,0.6948
661,classic chinese pop,0.52272
662,dark wave,0.53882
663,progressive uplifting trance,0.5228
664,orgcore,0.430266666667
665,austindie,0.60962
666,idol,0.57204
667,chicago indie,0.57922
668,medieval,0.43462
669,avant-garde jazz,0.4775
670,eurovision,0.599428571429
671,bay area indie,0.50668
672,romantico,0.480128
673,western swing,0.63348
674,russian rock,0.6732
675,japanese city pop,0.61868
676,new orleans jazz,0.59636
677,j-idol,0.65212
678,italian disco,0.7339
679,harmonica blues,0.60682
680,arab pop,0.65606
681,puerto rican rock,0.650591836735
682,dubstep,0.62484
683,classic finnish pop,0.618866666667
684,malaysian pop,0.636244897959
685,outsider house,0.54476
