,genre,tempo
858,columbus ohio indie,122.633
859,czech folk,129.031638298
860,anime score,106.71968
861,visual kei,133.14196
862,mizrahi,119.08342
863,barnemusikk,118.16618
864,abstract beats,116.376612245
865,italian metal,118.81738
866,popgaze,133.396489796
867,indian folk,113.20164
868,deep latin alternative,121.079541667
869,power-pop punk,139.96864
870,ok indie,121.471
871,deep chill,112.548354167
872,classic turkish pop,107.96396
873,french movie tunes,115.095673469
874,bubble trance,132.062693878
875,goregrind,129.105285714
876,j-indie,133.73174
877,vintage italian soundtrack,99.40564
878,melodic hard rock,125.19402
879,deep tech house,123.290708333
880,dark cabaret,123.93986
881,shibuya-kei,120.616270833
882,deep pop punk,133.421416667
883,folkmusik,117.4386
884,power blues-rock,122.07684
885,rai,114.443387755
886,p funk,117.62138
887,swedish punk,136.903086957
888,russian punk,122.00926
889,spanish reggae,113.07784
890,black thrash,132.79956
891,fidget house,126.92255102
892,shimmer psych,114.10278
893,musica nativista,119.162357143
894,albanian pop,119.51154
895,horrorcore,125.22862
896,basque rock,136.096085106
897,violin,100.798545455
898,nu skool breaks,129.9186
899,melodic power metal,130.61564
900,turkish classical,110.766918367
901,highlife,113.99236
902,belly dance,126.65458
903,string quartet,119.24226
904,classic belgian pop,117.061326531
905,indie psych-pop,126.733040816
906,southern gospel,123.046612245
907,chiptune,123.73436
908,soukous,121.3906
909,lds,98.8070408163
910,instrumental post rock,109.758326531
911,irish country,122.044040816
912,brass band,123.62016
913,classic polish pop,122.693531915
914,bouncy house,167.23798
915,vintage swedish pop,111.305191489
916,timba,107.79798
917,classic peruvian pop,118.581693878
918,renaissance,98.91666
919,acid techno,132.88116
920,norwegian gospel,107.3817
921,yugoslav rock,119.039326531
922,dominican pop,121.33086
923,classic icelandic pop,109.181489362
924,arab folk,105.421895833
925,southern soul blues,103.16646
926,perth indie,120.63796
927,neue deutsche welle,137.00377551
928,swiss rock,123.35596
929,zouk,144.13536
930,deep melodic metalcore,124.12946
931,sega,121.052979592
932,mod revival,136.19976
933,pakistani pop,111.35455102
934,deep soul house,116.85764
935,french folk pop,122.445416667
936,deep christian rock,105.37818
937,c86,130.3451
938,rio de la plata,118.36
939,native american,93.9741632653
940,college a cappella,119.21634
941,uk dub,128.34122449
942,jazz bass,114.95436
943,miami bass,127.62634
944,ambient idm,114.42162
