,genre,valence
661,classic chinese pop,0.324226
662,dark wave,0.483778
663,progressive uplifting trance,0.183335555556
664,orgcore,0.565111111111
665,austindie,0.52304
666,idol,0.47806
667,chicago indie,0.54736
668,medieval,0.256176
669,avant-garde jazz,0.33516
670,eurovision,0.45012244898
671,bay area indie,0.54306
672,romantico,0.352942
673,western swing,0.68178
674,russian rock,0.483222
675,japanese city pop,0.541746
676,new orleans jazz,0.57878
677,j-idol,0.67846
678,italian disco,0.7352
679,harmonica blues,0.7097
680,arab pop,0.62992
681,puerto rican rock,0.677408163265
682,dubstep,0.381402
683,classic finnish pop,0.710044444444
684,malaysian pop,0.441448979592
685,outsider house,0.319994
686,mexican rock-and-roll,0.5622
687,portuguese rock,0.445051020408
688,post-doom metal,0.20546
689,colombian rock,0.603608
690,sertanejo tradicional,0.568816326531
691,brutal death metal,0.245398
692,soul flow,0.495662
693,salsa international,0.820836734694
694,seattle indie,0.365356
695,avantgarde metal,0.192834
696,hardcore,0.4345
697,nasheed,0.533448979592
698,gbvfi,0.53716
699,psychedelic doom,0.340894
700,celtic punk,0.557554
701,grindcore,0.247528571429
702,quebecois,0.487066
703,austropop,0.62616
704,brazilian ccm,0.35473877551
705,funky tech house,0.46928
706,riddim,0.560591836735
707,psychedelic trance,0.327998
708,speed garage,0.554785416667
709,baile funk,0.774693877551
710,classic russian rock,0.496185714286
711,freestyle,0.719744680851
712,j-poprock,0.55498
713,italian pop rock,0.443930612245
714,ebm,0.430506
715,math pop,0.408856
716,barnmusik,0.59187755102
717,spanish noise pop,0.486645833333
718,warm drone,0.0755326530612
719,soca,0.75196
720,nursery,0.549952
721,ethereal wave,0.203258
722,nintendocore,0.348096
723,african gospel,0.424656
724,garage pop,0.54034
725,world meditation,0.068106
726,destroy techno,0.386598
727,balearic,0.659346938776
728,progressive deathcore,0.220312
729,math rock,0.41725625
730,laiko,0.70476
731,acid house,0.381128571429
732,albuquerque indie,0.57918
733,mande pop,0.58494
734,polish punk,0.65829375
735,russiavision,0.54398
736,deep latin christian,0.33466
737,indie dream pop,0.35955
738,kindermusik,0.759772727273
739,emo punk,0.446512195122
740,entehno,0.63404
741,bassline,0.489422
742,k-indie,0.453028
743,classic finnish rock,0.49963125
744,substep,0.216806
745,electrofox,0.468074
746,drill and bass,0.355393877551
747,turbo folk,0.643706122449
748,british alternative rock,0.4651
749,ambeat,0.575766
750,ska revival,0.860714285714
751,deep minimal techno,0.308015555556
752,bmore,0.433387755102
753,british indie rock,0.521682
754,canterbury scene,0.411156
755,musica para ninos,0.6701
756,romanian pop,0.5867
757,chill lounge,0.429769387755
758,rock catala,0.66970212766
759,free jazz,0.363486
760,argentine indie,0.566918367347
761,deep comedy,0.4034
762,twee pop,0.51916
763,classic garage rock,0.688632653061
764,volksmusik,0.664652173913
765,post-post-hardcore,0.313846
766,electro-industrial,0.443386
767,gypsy jazz,0.638288
768,oi,0.543898
769,latin electronica,0.515316
770,straight edge,0.40972
771,christian hardcore,0.317968
772,kabarett,0.611468085106
773,kraut rock,0.210662
774,steampunk,0.5644
775,singaporean pop,0.357857142857
776,swedish hard rock,0.440265306122
777,world fusion,0.387554
778,slovak pop,0.51393877551
779,dansktop,0.577020408163
780,surf music,0.670046
781,thai idol,0.52622
782,gabba,0.315316666667
783,gothic rock,0.501081632653
784,chaotic hardcore,0.327244
785,nu age,0.119814
786,bhangra,0.627768
787,canzone napoletana,0.391546
788,retro metal,0.370730612245
789,cello,0.260846
790,mandible,0.182696
791,ballroom,0.353018
792,ye ye,0.67528
793,tango,0.402081632653
794,swedish jazz,0.327124489796
795,dixieland,0.53098
796,old-time,0.672354166667
797,laboratorio,0.287802040816
798,mashup,0.523889795918
799,christelijk,0.264102173913
800,freakbeat,0.582482
801,punjabi,0.6806
802,alternative roots rock,0.30746
803,futurepop,0.443214
804,vancouver indie,0.481132
805,christian punk,0.584672
806,choro,0.60124
807,african rock,0.424622
808,deep talent show,0.44308
809,e6fi,0.458814
810,drone metal,0.185132653061
811,nordic house,0.386334693878
812,electro bailando,0.72072
813,early music,0.273492
814,psychobilly,0.61928
815,hawaiian,0.564694
816,horror punk,0.39478
817,andean,0.526824
818,russian hip hop,0.460369387755
819,detroit techno,0.40952244898
820,progressive psytrance,0.235089795918
821,comedy rock,0.583673469388
822,thai pop,0.4897
823,psychill,0.29317755102
824,orchestral,0.177076
825,tribal house,0.492429166667
826,atmospheric black metal,0.180284
827,progressive trance house,0.300354166667
828,deep indian pop,0.603551020408
829,jazz trio,0.37
830,classical performance,0.174096
831,persian pop,0.71502
832,fado,0.3776
833,classical piano,0.131847619048
834,uk hip hop,0.588569387755
835,voidgaze,0.138626
836,danish hip hop,0.602312244898
837,zouk riddim,0.65154
838,israeli rock,0.630462
839,czech rock,0.617816326531
840,swedish reggae,0.698404255319
841,exotica,0.553244
842,praise,0.33306
843,theme,0.303062
844,hungarian rock,0.5857
845,athens indie,0.492396
846,neo-trad metal,0.317356
847,dub techno,0.288693877551
848,norwegian metal,0.247991836735
849,venezuelan rock,0.678244
850,choral,0.0837956521739
851,aggrotech,0.48243
852,neo-progressive,0.331232653061
853,turkish alternative,0.435133333333
854,hungarian pop,0.600704545455
855,classic colombian pop,0.82484
856,kizomba,0.59014
857,avant-garde,0.120958
858,columbus ohio indie,0.435626530612
859,czech folk,0.585510638298
860,anime score,0.14527
861,visual kei,0.48814
862,mizrahi,0.67974
863,barnemusikk,0.511606
864,abstract beats,0.530704081633
865,italian metal,0.370576
866,popgaze,0.518
867,indian folk,0.5943
868,deep latin alternative,0.522639583333
869,power-pop punk,0.63118
870,ok indie,0.46
871,deep chill,0.437789583333
872,classic turkish pop,0.616
873,french movie tunes,0.409542857143
874,bubble trance,0.423734693878
875,goregrind,0.237042857143
876,j-indie,0.59978
877,vintage italian soundtrack,0.128816
878,melodic hard rock,0.432352
879,deep tech house,0.4462875
880,dark cabaret,0.501182
881,shibuya-kei,0.561672916667
882,deep pop punk,0.5493125
883,folkmusik,0.384733333333
884,power blues-rock,0.67108
885,rai,0.644204081633
886,p funk,0.71667
887,swedish punk,0.491108695652
888,russian punk,0.614976
889,spanish reggae,0.71908
890,black thrash,0.292718
891,fidget house,0.416814285714
892,shimmer psych,0.432992
893,musica nativista,0.801023809524
894,albanian pop,0.59018
895,horrorcore,0.426688
896,basque rock,0.545334042553
897,violin,0.164977272727
898,nu skool breaks,0.440296
899,melodic power metal,0.42584
900,turkish classical,0.372448979592
901,highlife,0.76022
902,belly dance,0.60095
903,string quartet,0.447864
904,classic belgian pop,0.505065306122
905,indie psych-pop,0.398283673469
906,southern gospel,0.297867346939
907,chiptune,0.450286
908,soukous,0.78016
909,lds,0.196983673469
910,instrumental post rock,0.0790673469388
911,irish country,0.575653061224
912,brass band,0.63084
913,classic polish pop,0.521417021277
914,bouncy house,0.457836
915,vintage swedish pop,0.629170212766
916,timba,0.84434
917,classic peruvian pop,0.803489795918
918,renaissance,0.197458
919,acid techno,0.432396
920,norwegian gospel,0.293772
921,yugoslav rock,0.680285714286
922,dominican pop,0.6245
923,classic icelandic pop,0.425331914894
924,arab folk,0.418158333333
925,southern soul blues,0.74898
926,perth indie,0.585822
927,neue deutsche welle,0.745114285714
928,swiss rock,0.441296
929,zouk,0.72008
930,deep melodic metalcore,0.24869
931,sega,0.730081632653
932,mod revival,0.68932
933,pakistani pop,0.518897959184
934,deep soul house,0.52388
935,french folk pop,0.6684375
936,deep christian rock,0.349594
937,c86,0.601028
938,rio de la plata,0.7303125
939,native american,0.383875510204
940,college a cappella,0.391004
941,uk dub,0.663510204082
942,jazz bass,0.50009
943,miami bass,0.642086
944,ambient idm,0.15811
945,polish reggae,0.654855102041
946,nordic folk,0.213634
947,hauntology,0.246296
948,vienna indie,0.416229166667
949,swamp pop,0.7094
950,modern uplift,0.500625
951,catalan folk,0.5791625
952,chanson quebecois,0.552645833333
953,girl group,0.61002
954,brazilian composition,0.315710416667
955,digital hardcore,0.401673469388
956,hip hop tuga,0.521936170213
957,hip hop quebecois,0.5335
958,deep neofolk,0.417493877551
959,vintage french electronic,0.445348979592
960,samba-enredo,0.81402173913
961,vocaloid,0.439093877551
962,italian jazz,0.22861
963,croatian pop,0.617208333333
964,spanish folk,0.58534
965,hard minimal techno,0.244212244898
966,vintage tango,0.59632
967,desert blues,0.5648
968,garage punk,0.44714
969,bounce,0.588136363636
970,hiplife,0.748770833333
971,mexican son,0.7431875
972,german oi,0.532693877551
973,classical guitar,0.316495918367
974,drumfunk,0.311893877551
975,czech hip hop,0.463152173913
976,appalachian folk,0.639724489796
977,vietnamese pop,0.40594
978,balkan brass,0.6894
979,free improvisation,0.351161702128
980,riot grrrl,0.595
981,rosary,0.2655
982,electronica,0.38328
983,underground latin hip hop,0.678395833333
984,karneval,0.687468085106
985,serialism,0.0965625
986,cante flamenco,0.515276595745
987,tico,0.576326530612
988,boogie-woogie,0.72288
989,morna,0.63684
990,ecuadoria,0.637102040816
991,traditional rock 'n roll,0.607514
992,estonian pop,0.431744
993,tin pan alley,0.412232
994,german show tunes,0.3301475
995,disco polo,0.77142
996,portuguese pop,0.803065217391
997,mbalax,0.681055102041
998,harpsichord,0.247324
999,deep soundtrack,0.055196
1000,polish indie,0.588569387755
1001,cyber metal,0.313106122449
1002,kids dance party,0.722046
1003,metal guitar,0.389898
1004,thrash core,0.38782
1005,outsider,0.541020408163
1006,full on,0.23475
1007,composition d,0.070825
1008,deep liquid,0.258648979592
1009,kompa,0.74844
1010,new age piano,0.173504
1011,heavy alternative,0.418979591837
1012,jumpstyle,0.351518
1013,electropunk,0.540798
1014,classic czech pop,0.498553488372
1015,stomp and whittle,0.48506
1016,slovak hip hop,0.494844444444
