,genre,acousticness
580,piano blues,0.77116
581,abstract hip hop,0.246096530612
582,deep turkish pop,0.16791274
583,christian dance,0.164985502
584,neoclassical,0.90284
585,norwegian hip hop,0.09926436
586,liedermacher,0.2875961
587,discofox,0.135954583333
588,australian hip hop,0.2285962
589,folk metal,0.0127053412
590,canadian country,0.193347195652
591,strut,0.107970541667
592,breakbeat,0.00933309
593,sludge metal,0.0164979122
594,italo dance,0.0777616326531
595,bluegrass,0.622768
596,new tribe,0.5271234
597,neo-singer-songwriter,0.4393354
598,finnish metal,0.0068198406383
599,danseband,0.25862626087
600,fluxwork,0.384091428571
601,hardcore techno,0.0258067
602,jump blues,0.627392
603,welsh rock,0.100724726939
604,technical death metal,0.00100628469388
605,german punk,0.01385742
606,fingerstyle,0.701632653061
607,float house,0.196335959184
608,sleaze rock,0.030592484
609,australian country,0.1937504
610,deep uplifting trance,0.0243898
611,alternative ccm,0.226465333333
612,folklore argentino,0.664396
613,kiwi rock,0.23349494
614,alternative pop,0.09229709
615,grave wave,0.17876706
616,swamp blues,0.44284934
617,electro jazz,0.28672656
618,rock steady,0.1687718
619,slow game,0.17182778
620,j-metal,0.0328720576
621,post-metal,0.102617218571
622,techno,0.0652569982
623,no wave,0.215786198
624,russian pop,0.1624774
625,stomp and flutter,0.731442
626,portland indie,0.295086306122
627,dutch rock,0.320633040816
628,doom metal,0.0498978768
629,modern performance,0.87032
630,pagan black metal,0.0399261441667
631,black metal,0.0003079758
632,jump up,0.024234178
633,pop flamenco,0.449916326531
634,hard alternative,0.0051958916
635,christian metal,0.0105368102
636,kirtan,0.745694
637,neurofunk,0.024984032
638,polish hip hop,0.234059408163
639,drift,0.90854
640,dark jazz,0.574253172
641,peruvian rock,0.383829
642,deathgrind,0.001075805
643,italian indie pop,0.363272
644,ectofolk,0.57539
645,symphonic black metal,0.000494056
646,classic italian pop,0.62979
647,turkish hip hop,0.190543958333
648,cuban rumba,0.553732
649,brega,0.396162653061
650,deep norteno,0.299840816327
651,happy hardcore,0.01808588
652,carnaval,0.203656744681
653,belgian rock,0.21096862
654,chicago house,0.06019594
655,medieval rock,0.143689787755
656,irish folk,0.574035555556
657,jungle,0.036459718
658,chamame,0.385048
659,scottish rock,0.18333004
660,rap chileno,0.1812264
661,classic chinese pop,0.594919
662,dark wave,0.0511899084
663,progressive uplifting trance,0.0111123133333
664,orgcore,0.0197190802222
665,austindie,0.37510064
666,idol,0.2162376
667,chicago indie,0.370940322
668,medieval,0.3706526
669,avant-garde jazz,0.76654
670,eurovision,0.212513693878
671,bay area indie,0.21522882
672,romantico,0.5487304
673,western swing,0.677506
674,russian rock,0.2108048
675,japanese city pop,0.17098556
676,new orleans jazz,0.8081
677,j-idol,0.136442874
678,italian disco,0.14207804
679,harmonica blues,0.578332
680,arab pop,0.2695544
681,puerto rican rock,0.289547081633
682,dubstep,0.04825352
683,classic finnish pop,0.284733955556
684,malaysian pop,0.477960408163
685,outsider house,0.32597314
686,mexican rock-and-roll,0.5165204
687,portuguese rock,0.32250755102
688,post-doom metal,0.0547057804
689,colombian rock,0.2150542
690,sertanejo tradicional,0.417963265306
691,brutal death metal,0.003112284
692,soul flow,0.218970536
693,salsa international,0.499371428571
694,seattle indie,0.33086812
695,avantgarde metal,0.0720310166
696,hardcore,0.0142658378
697,nasheed,0.57263877551
698,gbvfi,0.10934429
699,psychedelic doom,0.0455916286
700,celtic punk,0.057373664
701,grindcore,0.00129778938776
702,quebecois,0.3732012
703,austropop,0.2222608
704,brazilian ccm,0.527193877551
705,funky tech house,0.024907588
706,riddim,0.185590816327
707,psychedelic trance,0.06961822
708,speed garage,0.06765431875
709,baile funk,0.234709795918
710,classic russian rock,0.197351979592
711,freestyle,0.115135574468
712,j-poprock,0.113202974
713,italian pop rock,0.168074510204
714,ebm,0.0211989806
715,math pop,0.183841792
716,barnmusik,0.67512244898
717,spanish noise pop,0.26871041875
718,warm drone,0.915428571429
719,soca,0.1248948
720,nursery,0.755072
721,ethereal wave,0.373405112
722,nintendocore,0.0479394264
723,african gospel,0.271089
724,garage pop,0.1131911016
725,world meditation,0.91688
726,destroy techno,0.0419690522
727,balearic,0.144765971429
728,progressive deathcore,0.001657943
729,math rock,0.140458845417
730,laiko,0.24983492
731,acid house,0.117735897959
732,albuquerque indie,0.297043666
733,mande pop,0.532348
734,polish punk,0.22525446875
735,russiavision,0.1282666
736,deep latin christian,0.515138
737,indie dream pop,0.3883609226
738,kindermusik,0.407863636364
739,emo punk,0.0635543002439
740,entehno,0.290686
741,bassline,0.0722542
742,k-indie,0.462685708
743,classic finnish rock,0.245390439583
744,substep,0.2334924
745,electrofox,0.456270484
746,drill and bass,0.34850325102
747,turbo folk,0.159494040816
748,british alternative rock,0.0140341964
749,ambeat,0.315290716
750,ska revival,0.142909306122
751,deep minimal techno,0.0420664668889
752,bmore,0.0501945591837
753,british indie rock,0.182351532
754,canterbury scene,0.4631757
755,musica para ninos,0.68494
756,romanian pop,0.08483688
757,chill lounge,0.34123877551
758,rock catala,0.286492553191
759,free jazz,0.74524
760,argentine indie,0.373740204082
761,deep comedy,0.81692
762,twee pop,0.236882376
763,classic garage rock,0.276104478571
764,volksmusik,0.374306086957
765,post-post-hardcore,0.0082252714
766,electro-industrial,0.0165788398
767,gypsy jazz,0.81632
768,oi,0.0285506122
769,latin electronica,0.1424808
770,straight edge,0.0234651614
771,christian hardcore,0.0064756354
772,kabarett,0.565607446809
773,kraut rock,0.66304632
774,steampunk,0.289113272
775,singaporean pop,0.580499979592
776,swedish hard rock,0.0609754310204
777,world fusion,0.297401
778,slovak pop,0.192025918367
779,dansktop,0.293752040816
780,surf music,0.259474888
781,thai idol,0.3491954
782,gabba,0.110890165625
783,gothic rock,0.0343567281633
784,chaotic hardcore,0.0008188584
785,nu age,0.91368
786,bhangra,0.1646422
787,canzone napoletana,0.726332
788,retro metal,0.0999934406122
789,cello,0.63200548
790,mandible,0.655275112
791,ballroom,0.6452884
792,ye ye,0.442216
793,tango,0.865142857143
794,swedish jazz,0.814970285714
795,dixieland,0.80718
796,old-time,0.715954166667
797,laboratorio,0.571798061224
798,mashup,0.0813275102041
799,christelijk,0.450326869565
800,freakbeat,0.29139224
801,punjabi,0.193733877551
802,alternative roots rock,0.28799298
803,futurepop,0.028372144
804,vancouver indie,0.19231506
805,christian punk,0.065578916
806,choro,0.649326
807,african rock,0.1302494
808,deep talent show,0.27081954
809,e6fi,0.276971286
810,drone metal,0.12350873551
811,nordic house,0.0769662877551
812,electro bailando,0.1501308
813,early music,0.94032
814,psychobilly,0.055386432
815,hawaiian,0.662832
816,horror punk,0.166650824
817,andean,0.5429268
818,russian hip hop,0.245721020408
819,detroit techno,0.111352763265
820,progressive psytrance,0.0187731489796
821,comedy rock,0.312385510204
822,thai pop,0.29743122
823,psychill,0.161503210204
824,orchestral,0.8982
825,tribal house,0.0124413333333
826,atmospheric black metal,0.0330170944
827,progressive trance house,0.0489556
828,deep indian pop,0.355046734694
829,jazz trio,0.83158
830,classical performance,0.91096
831,persian pop,0.2866822
832,fado,0.668834
833,classical piano,0.951761904762
834,uk hip hop,0.199288959184
835,voidgaze,0.0925784488
836,danish hip hop,0.157498632653
837,zouk riddim,0.2799862
838,israeli rock,0.2700518
839,czech rock,0.200177618367
840,swedish reggae,0.138385957447
841,exotica,0.68609
842,praise,0.2020232
843,theme,0.518536
844,hungarian rock,0.0667509792
845,athens indie,0.207060208
846,neo-trad metal,0.0017316314
847,dub techno,0.371807428571
848,norwegian metal,0.0341480177551
849,venezuelan rock,0.1474776
850,choral,0.949434782609
851,aggrotech,0.0290760922
852,neo-progressive,0.155071816327
853,turkish alternative,0.1835750625
854,hungarian pop,0.211356920455
855,classic colombian pop,0.46163
856,kizomba,0.1836908
857,avant-garde,0.87864
858,columbus ohio indie,0.0772625204082
859,czech folk,0.302304893617
860,anime score,0.643049496
861,visual kei,0.0511595248
862,mizrahi,0.2321756
863,barnemusikk,0.693622
864,abstract beats,0.382280734694
865,italian metal,0.1025076216
866,popgaze,0.160572397959
867,indian folk,0.3836594
